git_commit,package,language,type,n_translated,n_untranslated
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,da,R,11,144
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,de,C,125,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,de,R,148,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,en,C,0,130
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,en,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,en_GB,C,0,130
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,en_GB,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,es,C,97,33
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,es,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,fa,C,0,130
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,fa,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,fr,C,129,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,fr,R,155,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,it,C,129,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,it,R,155,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ja,C,124,6
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ja,R,144,11
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ko,C,110,20
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ko,R,133,22
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,lt,C,129,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,lt,R,152,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,nn,C,103,27
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,nn,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,pl,C,125,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,pl,R,148,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,pt_BR,C,103,27
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,pt_BR,R,116,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ru,C,129,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,ru,R,152,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,tr,C,103,27
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,tr,R,0,155
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,zh_CN,C,122,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,zh_CN,R,139,16
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,zh_TW,C,125,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,graphics,zh_TW,R,148,7
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,da,C,6,33
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,da,R,8,167
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,de,C,24,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,de,R,149,26
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,en,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,en,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,en_GB,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,en_GB,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,es,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,es,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,fa,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,fa,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,fr,C,36,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,fr,R,161,14
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,it,C,36,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,it,R,161,14
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ja,C,24,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ja,R,148,27
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ko,C,23,16
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ko,R,126,49
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,lt,C,36,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,lt,R,161,14
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,nn,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,nn,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,pl,C,24,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,pl,R,149,26
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,pt_BR,C,6,33
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,pt_BR,R,40,135
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ru,C,36,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,ru,R,161,14
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,tr,C,0,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,tr,R,0,175
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,zh_CN,C,21,18
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,zh_CN,R,139,36
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,zh_TW,C,24,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,grid,zh_TW,R,149,26
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,da,C,23,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,da,R,5,402
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,de,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,de,R,394,13
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,en,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,en,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,en_GB,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,en_GB,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,es,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,es,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,fa,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,fa,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,fr,C,31,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,fr,R,407,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,it,C,31,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,it,R,407,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ja,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ja,R,381,26
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ko,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ko,R,293,114
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,lt,C,17,14
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,lt,R,402,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,nn,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,nn,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,pl,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,pl,R,394,13
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,pt_BR,C,23,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,pt_BR,R,30,377
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ru,C,31,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,ru,R,402,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,tr,C,0,31
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,tr,R,0,407
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,zh_CN,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,zh_CN,R,370,37
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,zh_TW,C,27,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,methods,zh_TW,R,394,13
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,da,C,12,11
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,da,R,22,16
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,de,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,de,R,32,6
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,en,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,en,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,en_GB,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,en_GB,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,es,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,es,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,fa,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,fa,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,fr,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,fr,R,38,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,it,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,it,R,38,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ja,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ja,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ko,C,19,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ko,R,28,10
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,lt,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,lt,R,38,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,nn,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,nn,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,pl,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,pl,R,32,6
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,pt_BR,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,pt_BR,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ru,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,ru,R,38,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,tr,C,0,23
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,tr,R,0,38
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,zh_CN,C,18,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,zh_CN,R,27,11
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,zh_TW,C,23,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,parallel,zh_TW,R,32,6
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,da,C,2,2
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,da,R,16,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,de,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,de,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,en,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,en,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,en_GB,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,en_GB,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,es,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,es,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,fa,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,fa,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,fr,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,fr,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,it,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,it,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ja,C,2,2
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ja,R,20,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ko,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ko,R,21,3
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,lt,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,lt,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,nn,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,nn,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,pl,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,pl,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,pt_BR,C,2,2
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,pt_BR,R,16,8
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ru,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,ru,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,tr,C,0,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,tr,R,0,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,zh_CN,C,2,2
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,zh_CN,R,20,4
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,zh_TW,C,4,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,splines,zh_TW,R,24,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,da,C,60,150
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,da,R,42,753
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,de,C,195,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,de,R,766,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,en,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,en,R,0,795
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,en_GB,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,en_GB,R,0,795
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,es,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,es,R,0,795
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,fa,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,fa,R,0,795
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,fr,C,210,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,fr,R,794,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,it,C,210,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,it,R,795,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ja,C,186,24
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ja,R,741,54
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ko,C,171,39
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ko,R,613,182
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,lt,C,209,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,lt,R,790,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,nn,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,nn,R,0,795
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,pl,C,195,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,pl,R,766,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,pt_BR,C,166,44
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,pt_BR,R,439,356
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ru,C,209,1
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,ru,R,790,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,tr,C,0,210
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,tr,R,342,453
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,zh_CN,C,177,33
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,zh_CN,R,716,79
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,zh_TW,C,195,15
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats,zh_TW,R,766,29
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,da,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,da,R,4,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,de,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,de,R,4,5
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,en,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,en,R,0,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,en_GB,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,en_GB,R,0,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,es,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,es,R,0,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,fa,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,fa,R,0,9
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,fr,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,fr,R,9,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,it,C,0,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,it,R,9,0
4168b6fff27eafad68a4b134dba5c7d09e090fcb,stats4,ja,C,0,0
